의료지도내용	약물투여	
의료지도내용	약물투여	NS
의료지도내용	약물투여	DW
의료지도내용	약물투여	NTG
의료지도내용	약물투여	기관지확장제
의료지도내용	약물투여	에피네프린
의료지도내용	약물투여	아미오다론
의료지도내용	약물투여	기타
의료지도내용	병원선정	
의료지도내용	환자평가	
의료지도내용	CPR유보중단	
의료지도내용	이송거절	
의료지도내용	이송거보	
의료지도내용	기타	
의료지도내용	기타	기타지도내용
환자이송	이송기관명	
환자이송	이송기관명	관할
환자이송	도착시간	
환자이송	도착거리	
환자이송	의료기관선정자등	
환자이송	의료기관선정자등	구급대
환자이송	의료기관선정자등	119상황실
환자이송	의료기관선정자등	구급상황센터
환자이송	의료기관선정자등	환자보호자
환자이송	의료기관선정자등	병원수용곤란
환자이송	의료기관선정자등	기타
환자이송	재이송사유	
환자이송	재이송사유	병상부족
환자이송	재이송사유	전문의부재
환자이송	재이송사유	의료장비고장
환자이송	재이송사유	주취자 등
환자이송	재이송사유	환자/보호자 변심
환자이송	재이송사유	1차응급처치
환자이송	재이송사유	기타
환자이송	환자인수자	
환자이송	환자인수자	의사
환자이송	환자인수자	간호사
환자이송	환자인수자	응급구조사
환자이송	환자인수자	기타
공동대응		
공동대응	헬기	
공동대응	펌뷸런스	
공동대응	경찰	
공동대응	구급차	
공동대응	기타	
공동대응	기타	공동대응
공동대응	소방활동	
공동대응	소방활동	T
환자희망이송병원	최단시간 이송가능 병원	
환자희망이송병원	병원 요청자	
환자희망이송병원	희망 이송병원	
미이송		
미이송	취소	
미이송	타차량	병원차
미이송	타차량	경찰차
미이송	타차량	자가용
미이송	타차량	택시
미이송	타차량	헬기
미이송	환자없음	
미이송	현장처치	
미이송	이송거부	
미이송	이송거절	
미이송	경찰인계	
미이송	이송불필요	
미이송	사망	
미이송	기타	
미이송	기타	기타미이송사유
출동인원	의사	소속
출동인원	의사	성명
출동인원	구급대원	자격
출동인원	구급대원	계급
출동인원	구급대원	소방
출동인원	구급대원	성명
출동인원	운전요원	자격
출동인원	운전요원	계급
출동인원	운전요원	소방
출동인원	운전요원	성명
출동인원	기타	자격
출동인원	기타	성명
장애요인		
장애요인	없음	
장애요인	장거리이송	
장애요인	보호자요구	
장애요인	원거리 병원	
장애요인	원거리 출동	
장애요인	만취자	
장애요인	폭행	
장애요인	언어폭력	
장애요인	환자 과체중	
장애요인	기관 협조 미흡	
장애요인	환자위치 불명확	
장애요인	교통정체	
장애요인	폭우	
장애요인	폭설	
장애요인	기타	
장애요인	기타	기타요인
일련번호		
재난번호		
연계번호		
추가사항(ETYPE)	맥박촉지	
추가사항(ETYPE)	맥박촉지	있음
추가사항(ETYPE)	맥박촉지	없음
추가사항(ETYPE)	FU병원	
추가사항(ETYPE)	보호자동행여부	
추가사항(ETYPE)	보호자동행여부	동행
추가사항(ETYPE)	보호자동행여부	미동행
추가사항(ETYPE)	격리필요유무	
추가사항(ETYPE)	격리필요유무	예
추가사항(ETYPE)	격리필요유무	아니오
추가사항(ETYPE)	산부인과진료필요유무	
추가사항(ETYPE)	산부인과진료필요유무	예
추가사항(ETYPE)	산부인과진료필요유무	아니오
추가사항(ETYPE)	특수과진료필요유무	
추가사항(ETYPE)	특수과진료필요유무	예
추가사항(ETYPE)	특수과진료필요유무	아니오
